category,roots,meaning,word,breakdown,definition,phonetic,example,translation,native_vibe,synonym_nuance,visual_prompt,social_status,emotional_tone,street_usage,collocation,etymon_story,usage_warning,memory_hook,audio_tag
進階高中,cracy,統治,bureaucracy,bureau (辦公室),官僚制度,/bjʊˈrɑː.krə.si/,Efficient bureaucracy.,有效率的行政體系。,,,,,,,,,,,
進階高中,archy,統治,monarchy,mon (一) + archy,君主政體,/ˈmɑː.nɚ.ki/,Absolute monarchy.,絕對君主制。,,,,,,,,,,,
進階高中,archy,統治,anarchy,an (無) + archy,無政府狀態,/ˈæn.ɚ.ki/,Total anarchy.,完全無政府狀態。,,,,,,,,,,,
進階高中,feder,聯盟,federation,feder + ation,聯邦/聯盟,/ˌfed.əˈreɪ.ʃən/,International federation.,國際聯盟。,,,,,,,,,,,
進階高中,pol,城市,metropolis,metro (母) + polis,大都市,/məˈtrɑː.pə.lɪs/,Bustling metropolis.,繁忙的大都市。,,,,,,,,,,,
進階高中,domin,統治/主人,dominant,domin + ant,佔優勢的,/ˈdɑː.mə.nənt/,Dominant culture.,主流文化。,,,,,,,,,,,
進階高中,liber,自由,liberal,liber + al,開明的/自由派的,/ˈlɪb.ər.əl/,Liberal views.,開明的觀點。,,,,,,,,,,,
進階高中,serv,保存/保持,conservative,con + serve,保守的,/kənˈsɝː.və.t̬ɪv/,Conservative party.,保守黨。,,,,,,,,,,,
進階高中,sect,切/派系,sectarian,sect + arian,宗派的/派系的,/sekˈter.i.ən/,Sectarian violence.,派系暴力。,,,,,,,,,,,
進階高中,segreg,分開/群體,segregation,se (離) + greg (群),種族隔離,/ˌseɡ.rəˈɡeɪ.ʃən/,Racial segregation.,種族隔離。,,,,,,,,,,,
進階高中,aggreg,集合,aggregate,ad + greg (群),合計/聚集,/ˈæɡ.rə.ɡət/,Aggregate demand.,總需求。,,,,,,,,,,,
進階高中,dipl,雙/摺疊,diplomacy,diplo + macy,外交,/dɪˈploʊ.mə.si/,International diplomacy.,國際外交。,,,,,,,,,,,
進階高中,pac,和平,pacifist,pac + ifist,和平主義者,/ˈpæs.ə.fɪst/,A lifelong pacifist.,終身的和平主義者。,,,,,,,,,,,
進階高中,bell,戰爭,rebellion,re (反) + bell,叛亂/反抗,/rɪˈbel.jən/,Youth rebellion.,青少年的叛逆。,,,,,,,,,,,
進階高中,pugn,打鬥,repugnant,re + pugn + ant,令人反感的,/rɪˈpʌɡ.nənt/,Repugnant smell.,令人作嘔的氣味。,,,,,,,,,,,
進階高中,vict/vinc,征服,invincible,in (不) + vinc,無敵的,/ɪnˈvɪn.sə.bəl/,Invincible army.,無敵的軍隊。,,,,,,,,,,,
進階高中,force,力量,enforce,en (使) + force,執行/強制,/ɪnˈfɔːrs/,Enforce the law.,執法。,,,,,,,,,,,
進階高中,volunt,意志,voluntary,volunt + ary,自願的,/ˈvɑː.lən.ter.i/,Voluntary work.,志願工作。,,,,,,,,,,,
進階高中,popul,人民,populism,popul + ism,民粹主義,/ˈpɑː.pjə.lɪ.zəm/,Rise of populism.,民粹主義的興起。,,,,,,,,,,,
進階高中,mut,改變,immutable,im + mut + able,不可改變的,/ɪˈmjuː.t̬ə.bəl/,Immutable law.,不變的定律。,,,,,,,,,,,
進階高中,flu,流動,fluctuate,flu + ctuate,波動/起伏,/ˈflʌk.tʃu.eɪt/,Prices fluctuate.,價格波動。,,,,,,,,,,,
進階高中,equi,相等,equilibrium,equi + libr (秤),平衡,/ˌiː.kwəˈlɪb.ri.əm/,Economic equilibrium.,經濟平衡。,,,,,,,,,,,
進階高中,trans,穿過/改變,translucent,trans + luc (光),半透明的,/trænsˈluː.sənt/,Translucent glass.,半透明玻璃。,,,,,,,,,,,
進階高中,luc/lum,光,illuminate,in + lum + inate,照亮/闡明,/ɪˈluː.mə.neɪt/,Illuminate the room.,照亮房間。,,,,,,,,,,,
進階高中,ten/tin,握住/保持,tenacious,ten + acious,頑強的/固執的,/təˈneɪ.ʃəs/,Tenacious grip.,頑強的抓地力。,,,,,,,,,,,
進階高中,string,拉緊,stringent,string + ent,嚴格的,/ˈstrɪn.dʒənt/,Stringent safety rules.,嚴格的安全規定。,,,,,,,,,,,
進階高中,dens,濃密,density,dens + ity,密度,/ˈden.sə.t̬i/,Population density.,人口密度。,,,,,,,,,,,
進階高中,frag,碎裂,fragment,frag + ment,碎片/片段,/ˈfræɡ.mənt/,Fragment of a glass.,玻璃碎片。,,,,,,,,,,,
進階高中,chron,時間,chronological,chrono + logical,按時間順序的,/ˌkrɑː.nəˈlɑː.dʒɪ.kəl/,Chronological order.,按時間順序。,,,,,,,,,,,
進階高中,temp,時間,temporary,temp + orary,暫時的,/ˈtem.pə.rer.i/,Temporary job.,臨時工作。,,,,,,,,,,,
進階高中,terr,土地,terrain,terr + ain,地形/地勢,/təˈreɪn/,Rough terrain.,崎嶇的地形。,,,,,,,,,,,
進階高中,hydr,水,hydrant,hydr + ant,消防栓,/ˈhaɪ.drənt/,Fire hydrant.,消防栓。,,,,,,,,,,,
進階高中,aer,空氣,aerospace,aero + space,航空航天,/ˈer.oʊ.speɪs/,Aerospace industry.,航空航天工業。,,,,,,,,,,,
進階高中,sol,太陽,solar,sol + ar,太陽的,/ˈsoʊ.lɚ/,Solar panel.,太陽能板。,,,,,,,,,,,
進階高中,fin,結束/限度,finite,fin + ite,有限的,/ˈfaɪ.naɪt/,Finite resources.,有限的資源。,,,,,,,,,,,
進階高中,merch,交易,merchandise,merch + andise,商品,/ˈmɝː.tʃən.daɪz/,Quality merchandise.,優質商品。,,,,,,,,,,,
進階高中,ven,來/買賣,revenue,re + venue,營收/稅收,/ˈrev.ə.nuː/,Annual revenue.,年度營收。,,,,,,,,,,,
進階高中,curr,跑/流通,currency,curr + ency,貨幣,/ˈkɝː.ən.si/,Foreign currency.,外幣。,,,,,,,,,,,
進階高中,estim,價值,estimate,estim + ate,估計,/ˈes.tə.meɪt/,Cost estimate.,成本估計。,,,,,,,,,,,
進階高中,preci,價值,appreciate,ad + preci,增值/感激/賞識,/əˈpriː.ʃi.eɪt/,Appreciate art.,賞識藝術。,,,,,,,,,,,
進階高中,preci,價值,depreciate,de + preci,貶值,/dɪˈpriː.ʃi.eɪt/,Cars depreciate.,汽車會貶值。,,,,,,,,,,,
進階高中,magn,大,magnate,magn + ate,巨頭/大亨,/ˈmæɡ.neɪt/,A shipping magnate.,航運大亨。,,,,,,,,,,,
進階高中,corpor,身體/團體,corporate,corpor + ate,公司的,/ˈkɔːr.pɚ.ət/,Corporate culture.,企業文化。,,,,,,,,,,,
進階高中,pend,掛/支付,expenditure,ex + pend + iture,支出/花費,/ɪkˈspen.də.tʃɚ/,Military expenditure.,軍事支出。,,,,,,,,,,,
進階高中,fiscal,籃子/錢包,fiscal,fiscal,財政的,/ˈfɪs.kəl/,Fiscal year.,財政年度。,,,,,,,,,,,
進階高中,part,分開,partial,part + ial,部分的/偏袒的,/ˈpɑːr.ʃəl/,Partial success.,部分成功。,,,,,,,,,,,
進階高中,equ,公平,equity,equ + ity,股權/公平,/ˈek.wə.t̬i/,Private equity.,私募股權。,,,,,,,,,,,
進階高中,cred,相信,credential,cred + ential,證書/資歷,/krəˈden.ʃəl/,Academic credentials.,學術資歷。,,,,,,,,,,,
進階高中,capit,頭,capitalism,capit + alism,資本主義,/ˈkæp.ə.t̬əl.ɪ.zəm/,Global capitalism.,全球資本主義。,,,,,,,,,,,
進階高中,priv,私人,privatization,privat + ization,民營化/私有化,/ˌpraɪ.və.təˈzeɪ.ʃən/,Privatization of rails.,鐵路民營化。,,,,,,,,,,,
進階高中,magn,大,magnitude,magn + itude,震級/規模/重要性,/ˈmæɡ.nə.tuːd/,Magnitude of earthquake.,地震震級。,,,,,,,,,,,
進階高中,ampl,寬大,amplify,ampl + ify,放大/增強,/ˈæm.plə.faɪ/,Amplify the signal.,增強訊號。,,,,,,,,,,,
進階高中,dur,持續,endurance,en + dur + ance,忍耐力,/ɪnˈdʊr.əns/,Physical endurance.,體力。,,,,,,,,,,,
進階高中,sta,站立,stagnant,sta + gnant,停滯的,/ˈstæɡ.nənt/,Stagnant water.,死水。,,,,,,,,,,,
進階高中,sol,單獨,solitary,sol + itary,孤獨的,/ˈsɑː.lə.ter.i/,Solitary confinement.,單獨監禁。,,,,,,,,,,,
進階高中,vac,空,evacuate,e + vac + uate,撤離,/ɪˈvæk.ju.eɪt/,Evacuate the area.,撤離該區。,,,,,,,,,,,
進階高中,nihil,無/零,annihilate,ad + nihil + ate,消滅,/əˈnaɪ.ə.leɪt/,Annihilate the enemy.,殲滅敵人。,,,,,,,,,,,
進階高中,brev,短,brevity,brev + ity,簡潔,/ˈbrev.ə.t̬i/,Brevity of life.,生命的短暫。,,,,,,,,,,,
進階高中,grav,重,gravity,grav + ity,地心引力/嚴重性,/ˈɡræv.ə.t̬i/,Center of gravity.,重心。,,,,,,,,,,,
進階高中,lev,輕/上升,alleviate,ad + levi + ate,減輕/緩和,/əˈliː.vi.eɪt/,Alleviate pain.,減輕痛苦。,,,,,,,,,,,
進階高中,fort,強壯,fortify,fort + ify,強化/設防,/ˈfɔːr.t̬ə.faɪ/,Fortify the city.,強化城市防禦。,,,,,,,,,,,
進階高中,ac/acr,尖/酸,acute,ac (尖) + ute,敏銳的/嚴重的/急性的,/əˈkjuːt/,Acute pain.,劇痛。,,,,,,,,,,,
進階高中,acer/acri,苦/酸,acrimonious,acri + monious,尖酸刻薄的,/ˌæk.rəˈmoʊ.ni.əs/,Acrimonious debate.,激烈尖酸的辯論。,,,,,,,,,,,
進階高中,clar,清楚,declaration,de + clar + ation,宣言/宣佈,/ˌdek.lərˈeɪ.ʃən/,Declaration of love.,表白。,,,,,,,,,,,
進階高中,err,犯錯/流浪,erroneous,err + oneous,錯誤的,/əˈroʊ.ni.əs/,Erroneous belief.,錯誤的信念。,,,,,,,,,,,
進階高中,sacr,神聖,sacrifice,sacr + fice (做),犧牲,/ˈsæk.rə.faɪs/,Ultimate sacrifice.,最終的犧牲。,,,,,,,,,,,
進階高中,sanct,神聖,sanctuary,sanct + uary,庇護所,/ˈsæŋk.tʃu.er.i/,Wildlife sanctuary.,野生動物保護區。,,,,,,,,,,,
進階高中,ver,真實,verify,ver + ify,證實/核對,/ˈver.ə.faɪ/,Verify the identity.,核對身份。,,,,,,,,,,,
進階高中,fals,假,falsify,fals + ify,偽造/竄改,/ˈfɑːl.sə.faɪ/,Falsify documents.,偽造文件。,,,,,,,,,,,
進階高中,apt,適當,aptitude,apt + itude,天賦/習性,/ˈæp.tə.tuːd/,Aptitude test.,性向測驗。,,,,,,,,,,,
進階高中,jud/jur,判斷/法律,judicial,jud + icial,司法的,/dʒuːˈdɪʃ.əl/,Judicial system.,司法體系。,,,,,,,,,,,
進階高中,leg,法律,legitimate,leg + itimate,合法的/正當的,/ləˈdʒɪt̬.ə.mət/,Legitimate concern.,正當的關切。,,,,,,,,,,,
進階高中,priv,個人/私下,privilege,privi + lege (法),特權,/ˈprɪv.əl.ɪdʒ/,A rare privilege.,難得的特權。,,,,,,,,,,,
進階高中,pen/pun,處罰,penalty,penal + ty,刑罰/處罰,/ˈpen.əl.ti/,Death penalty.,死刑。,,,,,,,,,,,
進階高中,crim,罪行,discriminate,dis (分) + crimin,歧視/辨別,/dɪˈskrɪm.ə.neɪt/,Discriminate against.,歧視...。,,,,,,,,,,,
進階高中,just,公正,justify,just + ify,證明...正當,/ˈdʒʌs.tə.faɪ/,Justify his actions.,證明他的行為正當。,,,,,,,,,,,
進階高中,test,證人/遺囑,testimony,testi + mony,證詞,/ˈtes.tə.moʊ.ni/,Eyewitness testimony.,目擊者證詞。,,,,,,,,,,,
進階高中,sequ,跟隨,consequently,con + sequ + ently,因此,/ˈkɑːn.sə.kwənt.li/,"Consequently, we left.",因此，我們離開了。,,,,,,,,,,,
進階高中,dur,持續,duration,dur + ation,持續時間,/djʊˈreɪ.ʃən/,Short duration.,短時間。,,,,,,,,,,,
進階高中,annu/enni,年,perennial,per (穿) + enni,終年的/長期的,/pəˈren.i.əl/,Perennial problem.,長期的問題。,,,,,,,,,,,
進階高中,chron,時間,synchronize,syn (同) + chron,同步,/ˈsɪŋ.krə.naɪz/,Synchronize watches.,對時(同步手錶)。,,,,,,,,,,,
進階高中,term,邊界,terminate,term + inate,終止,/ˈtɝː.mə.neɪt/,Terminate the contract.,終止合約。,,,,,,,,,,,
進階高中,limit,邊界,limitation,limit + ation,限制,/ˌlɪm.əˈteɪ.ʃən/,Physical limitation.,生理限制。,,,,,,,,,,,
進階高中,archy,統治,hierarchy,hier (神聖) + archy,階級制度,/ˈhaɪ.ə.rɑːr.ki/,Corporate hierarchy.,企業階級制度。,,,,,,,,,,,
進階高中,cracy,統治,meritocracy,merit (優點) + cracy,精英領導制,/ˌmer.ɪˈtɑː.krə.si/,A true meritocracy.,真正的精英社會。,,,,,,,,,,,
進階高中,greg,群體,congregate,con (同) + greg,聚集,/ˈkɑːŋ.ɡrə.ɡeɪt/,Crowds congregate.,人群聚集。,,,,,,,,,,,
進階高中,popul,人民,depopulate,de (去) + popul,人口減少,/ˌdiːˈpɑː.pjə.leɪt/,War depopulated the area.,戰爭使該區人口減少。,,,,,,,,,,,
進階高中,demo,人民,demographic,demo + graph,人口統計的,/ˌdem.əˈɡræf.ɪk/,Demographic shift.,人口結構轉變。,,,,,,,,,,,
進階高中,urb,城市,suburban,sub (下/近) + urb,郊區的,/səˈbɝː.bən/,Suburban lifestyle.,郊區生活方式。,,,,,,,,,,,
進階高中,civ,公民,civility,civ + ilty,禮貌/文明,/səˈvɪl.ə.t̬i/,Lack of civility.,缺乏禮貌。,,,,,,,,,,,
進階高中,domi,控制,domination,domi + nation,支配/統治,/ˌdɑː.məˈneɪ.ʃən/,Global domination.,全球統治。,,,,,,,,,,,
進階高中,sov/super,在上,sovereignty,sover + eignty,主權,/ˈsɑː.vɚ.ən.ti/,National sovereignty.,國家主權。,,,,,,,,,,,
進階高中,reg/rig,統治/直,regime,reg + ime,政權,/reɪˈʒiːm/,Authoritarian regime.,獨裁政權。,,,,,,,,,,,
進階高中,leg,法律/選,delegate,de + leg + ate,代表/委派,/ˈdel.ə.ɡət/,Delegate authority.,委派權力。,,,,,,,,,,,
進階高中,jur,法律,jurisdiction,juris + dict (說),管轄權,/ˌdʒʊr.ɪsˈdɪk.ʃən/,Legal jurisdiction.,法律管轄權。,,,,,,,,,,,
進階高中,pen,處罰,penitentiary,pen + itentiary,監獄,/ˌpen.əˈten.ʃər.i/,State penitentiary.,州立監獄。,,,,,,,,,,,
進階高中,pun,處罰,impunity,im (不) + pun,免受懲罰,/ɪmˈpjuː.nə.t̬i/,Act with impunity.,肆無忌憚(不受罰)地行動。,,,,,,,,,,,
進階高中,bell,戰爭,belligerent,bell + ger (帶),好戰的,/bəˈlɪdʒ.ɚ.ənt/,Belligerent tone.,挑釁的語氣。,,,,,,,,,,,
進階高中,pac,和平,pacify,pac + ify,平定/使平靜,/ˈpæs.ə.faɪ/,Pacify the protesters.,平息抗議者。,,,,,,,,,,,
進階高中,am/im,朋友/愛,enmity,in (不) + am,敵意,/ˈen.mə.t̬i/,Personal enmity.,個人恩怨。,,,,,,,,,,,
進階高中,pugn,戰鬥,impugn,in + pugn,質疑/駁斥,/ɪmˈpjuːn/,Impugn his motives.,質疑他的動機。,,,,,,,,,,,
進階高中,vict,征服,evict,e (出) + vict,驅逐(房客),/ɪˈvɪkt/,Evict the tenant.,驅逐房客。,,,,,,,,,,,
進階高中,liber,自由,libertarian,liber + tarian,自由意志主義者,/ˌlɪb.ərˈter.i.ən/,Libertarian party.,自由意志黨。,,,,,,,,,,,
進階高中,serv,服務/保持,servitude,serv + itude,奴役狀態,/ˈsɝː.və.tuːd/,Forced servitude.,強迫勞役。,,,,,,,,,,,
進階高中,pact,約定,compact,com + pact,緊密的/協約,/ˈkɑːm.pækt/,A trade compact.,貿易協定。,,,,,,,,,,,
進階高中,foed/fed,聯盟,confederate,con + feder + ate,同盟者/同盟的,/kənˈfed.ɚ.ət/,Confederate states.,同盟國(美內戰南方)。,,,,,,,,,,,
進階高中,munic,公共,municipal,municip + al,市政的,/mjuːˈnɪs.ə.pəl/,Municipal library.,市立圖書館。,,,,,,,,,,,
進階高中,commun,共同,communal,commun + al,公共的/社區的,/kəˈmjuː.nəl/,Communal living.,群體生活。,,,,,,,,,,,
進階高中,soci,伴侶,dissociate,dis (離) + soci,分離/脫離關係,/dɪˈsoʊ.si.eɪt/,Dissociate from the group.,脫離該團體。,,,,,,,,,,,
進階高中,nativ,出生,native,nat + ive,本地的/天生的,/ˈneɪ.t̬ɪv/,Native speaker.,母語人士。,,,,,,,,,,,
進階高中,gen,種族,genocide,geno + cide (殺),種族滅絕,/ˈdʒen.ə.saɪd/,Commit genocide.,犯下種族滅絕罪。,,,,,,,,,,,
進階高中,psych,靈魂/心理,psychiatrist,psych + iatrist (醫),精神科醫生,/saɪˈkaɪ.ə.trɪst/,Consult a psychiatrist.,諮詢精神科醫生。,,,,,,,,,,,
進階高中,phobia,恐懼,claustrophobia,claustro (關) + phobia,幽閉恐懼症,/ˌklɑː.strəˈfoʊ.bi.ə/,Suffer from claustrophobia.,患有幽閉恐懼症。,,,,,,,,,,,
進階高中,mania,瘋狂,pyromania,pyro (火) + mania,縱火狂,/ˌpaɪ.roʊˈmeɪ.ni.ə/,Diagnosed with pyromania.,被診斷為縱火狂。,,,,,,,,,,,
進階高中,ego,自我,egocentric,ego + centric (中心),以自我為中心的,/ˌiː.ɡoʊˈsen.trɪk/,Egocentric behavior.,自我中心的行為。,,,,,,,,,,,
進階高中,narcis,自戀,narcissistic,narcis + istic,自戀的,/ˌnɑːr.səˈsɪs.tɪk/,Narcissistic personality.,自戀型人格。,,,,,,,,,,,
進階高中,phil,愛,bibliophile,biblio (書) + phil,愛書的人,/ˈbɪb.li.ə.faɪl/,A true bibliophile.,真正的愛書家。,,,,,,,,,,,
進階高中,mis/miso,恨,misogyny,miso + gyn (女),厭女症,/mɪˈsɑː.dʒən.i/,Fight against misogyny.,對抗厭女症。,,,,,,,,,,,
進階高中,sens/sent,感覺,resentment,re (反) + sent,憤恨,/rɪˈzent.mənt/,Deep resentment.,深深的憤恨。,,,,,,,,,,,
進階高中,grat,感激,gratitude,grat + itude,感激之情,/ˈɡræt̬.ə.tuːd/,Express gratitude.,表達感激。,,,,,,,,,,,
進階高中,grat,取悅,gratify,grat + ify,使滿足,/ˈɡræt̬.ə.faɪ/,Gratify her desires.,滿足她的慾望。,,,,,,,,,,,
進階高中,plac,平靜,complacent,com + plac,自滿的,/kəmˈpleɪ.sənt/,Don't be complacent.,不要自滿。,,,,,,,,,,,
進階高中,dol,痛苦,doleful,dol + ful,悲傷的,/ˈdoʊl.fəl/,Doleful expression.,憂鬱的表情。,,,,,,,,,,,
進階高中,lev,輕,levity,lev + ity,輕率/輕浮,/ˈlev.ə.t̬i/,Moment of levity.,輕鬆的時刻。,,,,,,,,,,,
進階高中,grav,重,aggravate,ad + grav,加重/激怒,/ˈæɡ.rə.veɪt/,Aggravate the injury.,使傷勢惡化。,,,,,,,,,,,
進階高中,temper,調和/時間,temperate,temper + ate,溫和的/適度的,/ˈtem.pɚ.ət/,Temperate climate.,溫和的氣候。,,,,,,,,,,,
進階高中,anim,生命/精神,unanimous,uni (一) + anim,全體一致的,/juːˈnæn.ə.məs/,Unanimous vote.,全體一致投票通過。,,,,,,,,,,,
進階高中,anim,精神,animosity,anim + osity,仇恨/敵意,/ˌæn.əˈmɑː.sə.t̬i/,Deep animosity.,深仇大恨。,,,,,,,,,,,
進階高中,fid,信任,confidential,con + fid,機密的,/ˌkɑːn.fəˈden.ʃəl/,Confidential file.,機密檔案。,,,,,,,,,,,
進階高中,fid,信任,diffident,dis (不) + fid,缺乏自信的,/ˈdɪf.ɪ.dənt/,A diffident smile.,羞怯的微笑。,,,,,,,,,,,
進階高中,cred,相信,credulous,cred + ulous,輕信的/易受騙的,/ˈkredʒ.ə.ləs/,Too credulous.,太容易相信別人。,,,,,,,,,,,
進階高中,memor,記憶,commemorate,con + memor + ate,紀念/慶祝,/kəˈmem.ə.reɪt/,Commemorate the heroes.,紀念英雄。,,,,,,,,,,,
進階高中,sci,知道,conscience,con + sci,良心,/ˈkɑːn.ʃəns/,A clear conscience.,問心無愧。,,,,,,,,,,,
進階高中,vinc/vict,征服,convince,con + vince,說服,/kənˈvɪns/,Convince him to go.,說服他去。,,,,,,,,,,,
進階高中,terr,恐懼,deter,de (下) + ter,威懾/阻止,/dɪˈtɝː/,Deter crime.,嚇阻犯罪。,,,,,,,,,,,
進階高中,terr,恐懼,terrific,terr + ific,極好的(原指令人恐懼的),/təˈrɪf.ɪk/,Terrific job!,做得太棒了！,,,,,,,,,,,
進階高中,trem,顫抖,tremendous,trem + endous,巨大的/極好的,/trɪˈmen.dəs/,Tremendous effort.,巨大的努力。,,,,,,,,,,,
進階高中,pud,感到羞恥,impudent,im (不) + pud,無禮的/魯莽的,/ˈɪm.pjə.dənt/,Impudent remark.,無禮的評論。,,,,,,,,,,,
進階高中,pud,感到羞恥,repudiate,re (反) + pud,拒絕/否認,/rɪˈpjuː.di.eɪt/,Repudiate the claim.,否認這項主張。,,,,,,,,,,,
進階高中,eco-,家/環境,ecosystem,eco + system,生態系統,/ˈiː.koʊˌsɪs.təm/,Fragile ecosystem.,脆弱的生態系統。,,,,,,,,,,,
進階高中,environ,包圍,environmentalist,environ + ment + ist,環保人士,/ɪnˌvaɪ.rənˈmen.t̬əl.ɪst/,Leading environmentalist.,領先的環保人士。,,,,,,,,,,,
進階高中,bio-,生命,biodiversity,bio + diversity (多樣),生物多樣性,/ˌbaɪ.oʊ.daɪˈvɝː.sə.t̬i/,Protect biodiversity.,保護生物多樣性。,,,,,,,,,,,
進階高中,hydro-,水,hydroelectric,hydro + electric,水力發電的,/ˌhaɪ.droʊ.ɪˈlek.trɪk/,Hydroelectric dam.,水力發電大壩。,,,,,,,,,,,
進階高中,aqua-,水,aquarium,aqua + rium (場地),水族館,/əˈkwer.i.əm/,Visit the aquarium.,參觀水族館。,,,,,,,,,,,
進階高中,mar-,海,marine,mar + ine,海洋的,/məˈriːn/,Marine life.,海洋生物。,,,,,,,,,,,
